admission_number,first_name,last_name,gender,date_of_birth
001/2026,Waweru,Kipchirchir,Male,2010-01-02
002/2026,Njoroge,Kipkemoi,Male,2010-01-03
003/2026,Antony,Kiprono,Male,2010-01-04
004/2026,Kiptoo,Ruto,Male,2010-01-05
005/2026,Stephen,Kirui,Male,2010-01-06
006/2026,Samuel,Keter,Male,2010-01-07
007/2026,Ibrahim,Kiplamai,Male,2010-01-08
008/2026,Mutiso,Onyango,Male,2010-01-09
009/2026,Simon,Otieno,Male,2010-01-10
010/2026,Otieno,Kipchirchir,Male,2010-01-11
011/2026,Omondi,Langat,Male,2010-01-12
012/2026,Ngugi,Choge,Male,2010-01-13
013/2026,Albert,Kosgei,Male,2010-01-14
014/2026,Nicholas,Kiprono,Male,2010-01-15
015/2026,Frank,Ochieng,Male,2010-01-16
016/2026,Noah,Mwangi,Male,2010-01-17
017/2026,Leon,Langat,Male,2010-01-18
018/2026,Eric,Ngugi,Male,2010-01-19
019/2026,Kiptoo,Barmasai,Male,2010-01-20
020/2026,Robert,Sang,Male,2010-01-21
021/2026,Samuel,Kiptoo,Male,2010-01-22
022/2026,Edwin,Kiprono,Male,2010-01-23
023/2026,Njoroge,Kipkemei,Male,2010-01-24
024/2026,Geoffrey,Waweru,Male,2010-01-25
025/2026,Ngugi,Onyango,Male,2010-01-26
026/2026,Antony,Kipchirchir,Male,2010-01-27
027/2026,Allan,Wanjala,Male,2010-01-28
028/2026,Lawrence,Keter,Male,2010-01-29
029/2026,Samson,Onyango,Male,2010-01-30
030/2026,Mburu,Tirui,Male,2010-01-31
031/2026,David,Ruto,Male,2010-02-01
032/2026,Peter,Cheruiyot,Male,2010-02-02
033/2026,Stephen,Rotich,Male,2010-02-03
034/2026,Koech,Kiprono,Male,2010-02-04
035/2026,Victor,Otieno,Male,2010-02-05
036/2026,Nicholas,Mugo,Male,2010-02-06
037/2026,Maina,Chepngeno,Male,2010-02-07
038/2026,Kiptoo,Githinji,Male,2010-02-08
039/2026,Paul,Otieno,Male,2010-02-09
040/2026,Samuel,Ouma,Male,2010-02-10
041/2026,Ooko,Munyua,Male,2010-02-11
042/2026,Leon,Cheruiyot,Male,2010-02-12
043/2026,Samuel,Gathua,Male,2010-02-13
044/2026,Peter,Njoroge,Male,2010-02-14
045/2026,Joseph,Kipngetich,Male,2010-02-15
046/2026,Nyaga,Mutiso,Male,2010-02-16
047/2026,Leonard,Kiptoo,Male,2010-02-17
048/2026,Elijah,Okoth,Male,2010-02-18
049/2026,Leonard,Tirui,Male,2010-02-19
050/2026,Ezekiel,Kiptoo,Male,2010-02-20
051/2026,Samson,Kiprotich,Male,2010-02-21
052/2026,Samuel,Kipsang,Male,2010-02-22
053/2026,Langat,Koech,Male,2010-02-23
054/2026,Kamau,Biwott,Male,2010-02-24
055/2026,Mugo,Kimani,Male,2010-02-25
056/2026,Daniel,Kipruto,Male,2010-02-26
057/2026,Julius,Koech,Male,2010-02-27
058/2026,Daniel,Korir,Male,2010-02-28
059/2026,Abel,Kipchoge,Male,2010-03-01
060/2026,Caleb,Onyango,Male,2010-03-02
